id,name,position,defense,attack,speed,strength,stamina
161648,H. Ben Arfa,midfielder,33,72,80,12,95
164029,Charles,forward,54,83,57,10,87
214766,C. Izquierdoz,defender,71,28,37,24,18
216189,Capa,defender,68,39,72,12,56
216373,Marcelo Goiano,defender,23,85,38,96,42
216393,Y. Tielemans,midfielder,89,14,97,11,92
216435,S. Lobotka,midfielder,89,24,19,28,22
216643,L. Dubois,defender,33,25,73,71,15
199915,L. Dunk,defender,73,22,85,89,98
200607,C. Schindler,defender,89,96,41,89,30
200641,Y. Konoplyanka,midfielder,44,28,20,37,32
200677,Pedro Mendes,defender,42,31,77,55,56
201922,M. Hinteregger,defender,75,56,41,40,98
202429,D. da Costa,midfielder,85,80,69,12,23
202642,Fernando,midfielder,76,83,40,30,84
202750,W. Boly,defender,46,15,20,90,47
202851,G. Defrel,forward,95,60,11,78,93
203299,A. Carrillo,midfielder,62,99,46,32,91
193476,R. Cabella,midfielder,88,66,44,94,96
153260,Hilton,defender,39,39,56,92,60
178085,Granero,midfielder,53,16,83,16,92
158626,M. Debuchy,defender,37,93,43,73,32
229636,G. Pereiro,midfielder,52,38,43,23,33
205569,J. Ward-Prowse,midfielder,44,55,55,29,31
184575,R. Alessandrini,midfielder,44,82,69,72,18
190717,M. Antonio,midfielder,96,65,60,70,52
184826,Adrien Silva,midfielder,67,25,72,55,83
193011,S. Cook,defender,83,77,57,99,49
189682,B. Mee,defender,76,59,88,92,92
164082,Adriano,defender,81,34,70,38,46
178416,J. Lens,midfielder,81,69,55,56,92
205632,L. Ocampos,midfielder,36,19,12,38,90
219455,J. Calleri,forward,88,77,12,62,99
212602,Diego Llorente,defender,44,51,20,46,53
216437,Wallace,defender,21,24,98,18,42
205427,Djaniny,forward,71,72,98,62,27
225126,E. Skhiri,midfielder,65,38,35,23,31
229476,W. Anton,defender,13,57,82,77,14
152999,R. Palacio,forward,45,56,95,26,33
224933,K. Lasagna,forward,83,79,49,14,40
152997,D. Cvitanich,forward,98,94,69,41,85
182179,S. De Maio,defender,28,34,57,74,59
183714,S. Terodde,forward,30,92,84,87,33
152993,R. Civelli,defender,70,64,16,29,44
190875,J. Kucka,midfielder,59,18,87,47,78
211354,M. Benassi,midfielder,29,39,58,95,38
194201,P. Jansson,defender,12,97,14,79,35
186521,B. Espinosa,defender,83,87,67,19,71
183512,Yuri Berchiche,defender,29,27,93,33,83
216531,Paulinho,forward,65,66,87,53,37
201939,C. Piccini,defender,50,64,98,33,93
218066,M. Samatta,forward,29,50,38,30,27
231633,I. Diop,defender,61,73,86,75,88
192715,Juanpe,defender,65,16,35,40,48
161805,V. Behrami,midfielder,96,21,59,11,69
189196,Caiuby,midfielder,34,99,60,86,90
167431,G. Castro,midfielder,35,31,81,89,12
188166,M. Phillips,midfielder,20,44,98,38,63
221701,Gabriel Boschilia,forward,48,76,20,79,23
184111,C. Benteke,forward,13,78,87,25,64
229167,M. Rashica,forward,42,89,54,81,69
174381,C. Riveros,midfielder,79,29,56,37,88
204077,M. Niang,forward,32,31,99,77,22
226601,Vitor Hugo,defender,10,86,77,69,34
183895,M. Moralez,midfielder,95,53,14,20,94
230230,Eltildo Correia,defender,97,57,93,48,87
163925,A. Diamanti,midfielder,49,36,23,69,72
230224,Juli Freitinho,defender,22,42,64,20,27
178284,L. Nguyen,midfielder,60,99,79,88,59
143745,A. Turan,midfielder,42,37,50,13,84
230528,Rafael Cachoira,defender,86,23,67,64,82
189053,F. Caputo,forward,71,89,99,98,56
197756,J. Ayew,forward,13,83,64,92,94
188536,S. Hanni,forward,29,28,34,48,14
203128,T. Monconduit,midfielder,54,56,36,36,69
206198,D. Heintz,defender,42,67,62,12,67
188840,Miguel Lopes,defender,82,67,47,90,12
182184,D. Stephens,midfielder,76,50,96,17,87
190885,A. Smith,defender,73,39,26,39,27
211108,Fernandinho,midfielder,17,46,35,50,31
200353,A. Soumaoro,defender,52,77,29,58,14
211408,K. Linetty,midfielder,34,42,75,19,31
198352,S. Bell,defender,23,98,52,92,35
188879,A. N'Diaye,midfielder,90,50,86,52,93
189390,B. Oczipka,defender,98,21,67,22,15
186115,K. Gibbs,defender,53,72,93,96,86
213761,A. Hamdallah,forward,50,72,85,14,11
216320,S. Fofana,midfielder,89,25,87,76,23
768,Felipe,defender,30,61,62,20,94
188414,C. Villanueva,midfielder,33,51,89,46,81
199422,J. Clasie,midfielder,68,16,45,54,44
198140,R. Funes Mori,forward,59,24,77,33,57
212219,A. Djiku,defender,93,86,27,99,77
183546,J. Hogg,midfielder,57,87,56,36,87
237604,A. Franco,defender,97,15,69,57,36
220196,D. Brooks,midfielder,26,63,83,49,31
179746,S. Vokes,forward,14,23,11,22,70
219681,J. Amavi,defender,25,28,55,96,14
216097,Idris,midfielder,83,87,79,87,52
186143,O. Norwood,midfielder,38,18,80,13,57
208451,R. Quaison,forward,50,16,71,64,19
198719,N. Redmond,forward,63,86,96,33,81
183870,A. Mounier,midfielder,76,89,86,65,86
147006,Diego Castro,forward,23,46,89,85,11
179551,O. Kamara,forward,89,97,93,75,29
206427,B. Butko,defender,89,79,91,35,37
206424,M. Morozyuk,defender,71,93,36,36,36
192087,G. Schennikov,midfielder,77,56,33,16,74
208509,T. Foket,defender,46,10,53,26,17
222844,Walace,midfielder,15,87,11,85,70
134779,J. Briand,forward,94,25,98,38,24
228729,B. Valdez,defender,68,59,42,99,45
171896,H. Ayala,defender,56,90,82,80,83
225144,P. Tau,forward,58,87,10,20,75
209782,S. Larsson,forward,96,41,61,56,44
215449,R. Skov,midfielder,48,43,64,70,92
187800,M. Isla,defender,22,57,70,24,59
195479,J. Tavernier,defender,30,88,18,83,76
237207,S. Kalu,forward,26,31,56,16,10
208535,A. Duncan,midfielder,52,90,17,58,40
184469,H. Arter,midfielder,85,12,48,23,22
235454,M. Sarr,defender,67,69,29,60,17
220093,H. Hateboer,midfielder,46,30,40,32,92
211899,F. Niederlechner,forward,33,13,72,13,27
158905,P. Schwegler,midfielder,27,37,22,36,12
231352,T. Abraham,forward,89,18,51,60,95
229092,A. Umar,midfielder,18,27,20,33,18
206594,S. March,forward,93,99,66,96,28
230401,Duirval Diniz,defender,60,40,43,70,63
221697,O. Watkins,forward,67,57,68,72,85
198657,J. Svensson,defender,94,33,92,30,91
169214,S. Sinclair,midfielder,43,34,25,91,83
228093,M. Thuram,midfielder,98,66,17,84,53
214781,S. Romero,forward,13,53,80,54,94
214772,N. Pasquini,defender,91,92,45,83,52
226803,T. Parker,defender,98,72,47,26,41
222707,Marcos Guilherme,forward,99,26,59,70,65
193549,S. Hutchinson,defender,87,77,76,10,80
245261,Bruno Lamas,midfielder,82,65,14,89,39
213260,S. Montoya,midfielder,76,76,29,89,96
223243,V. Aguilera,defender,60,69,54,18,68
222987,H. Yamaguchi,midfielder,70,87,14,72,85
192778,I. Mboyo,midfielder,61,46,11,80,61
238858,Bruno Tabata,forward,50,91,81,41,24
188168,G. Friend,defender,42,85,13,54,89
239904,D. Khocholava,defender,50,23,43,86,46
175391,Mateus,midfielder,51,22,33,52,31
212253,A. Scholz,defender,85,86,75,38,79
206109,Y. Chibsah,midfielder,59,85,58,69,66
192540,M. Duffy,midfielder,89,27,21,51,36
198196,P. Lasogga,forward,42,29,70,17,34
222515,Z. Ferhat,midfielder,34,18,89,74,47
152883,C. Marshall,defender,74,15,71,96,29
186674,R. Espinoza,midfielder,94,40,69,79,38
201266,K. Kusk,midfielder,32,68,49,76,19
206152,L. Aued,midfielder,63,95,27,55,52
182343,Hao Junmin,midfielder,28,55,63,58,21
200519,Pulido,defender,26,56,67,92,22
205124,Edigar Junio,forward,83,68,18,62,12
149571,S. Pellissier,forward,24,50,42,40,37
206147,M. Antonsson,forward,45,51,32,11,38
211292,N. Mushekwi,forward,14,86,59,51,23
191066,F. Kroos,midfielder,59,13,62,36,34
225114,M. Mahi,forward,48,66,14,70,86
210010,J. van Overeem,midfielder,99,18,95,13,32
189272,A. Esswein,forward,98,10,26,90,76
230231,Jorge Carvallinho,defender,15,77,42,98,40
187478,J. Pereira,defender,92,50,81,32,68
232278,S. Mosquera,midfielder,42,30,27,17,30
214358,J. Nieto,midfielder,61,18,37,85,57
219733,L. Ajorque,forward,68,62,99,36,64
191856,H. Barcos,forward,28,43,21,59,40
220528,G. Tutino,forward,47,10,50,61,30
215152,A. Allione,midfielder,64,11,48,46,44
224367,G. Lanaro,defender,78,82,73,92,13
212591,W. Zimmerman,defender,22,37,26,84,12
213613,S. Gustafson,midfielder,85,75,99,28,70
48745,F. Coloccini,defender,94,44,89,40,80
192128,M. Albornoz,defender,85,62,15,14,69
191104,J. Mercier,midfielder,18,36,27,73,54
220031,O. McBurnie,forward,77,54,32,60,17
203903,L. Andersen,forward,98,44,49,44,53
168317,H. Goitom,forward,48,98,62,57,80
220029,S. Khaoui,midfielder,33,97,79,81,29
236696,A. Chatzigiovanis,midfielder,36,53,39,16,37
230296,Cristian Lodeira,forward,81,99,78,38,15
192663,F. Klos,forward,43,69,23,60,63
190870,J. Boye,defender,42,36,61,42,70
193429,Douglas,defender,42,81,44,87,11
49045,K. Boyd,forward,54,31,22,32,40
224428,J. Otero,midfielder,46,68,77,54,73
200108,N. Boilesen,defender,82,67,74,73,75
210603,Y. Al Shahrani,defender,31,75,29,36,62
142762,J. Bottinelli,defender,21,64,12,69,34
6826,G. Barry,midfielder,37,92,14,10,56
230344,Jeff Meirson,defender,79,40,15,16,54
212680,J. Jones,midfielder,74,91,17,96,65
207559,S. Tibbling,midfielder,82,75,72,85,44
228804,A. De Sart,midfielder,72,65,60,38,98
218050,M. Abarhoun,defender,95,88,99,78,50
192449,M. Stiepermann,midfielder,94,80,32,85,74
158144,Salva Sevilla,midfielder,99,80,69,10,26
211903,B. Kololli,midfielder,44,81,29,30,74
208607,M. Mantovani,defender,22,80,32,96,52
190430,J. Bennett,defender,22,23,28,11,36
222429,A. Cubas,midfielder,12,92,22,98,67
213725,L. Phiri,midfielder,90,59,55,60,92
203741,T. Delaine,defender,64,41,80,45,43
230390,Alexandre Frandeira,defender,51,43,73,11,56
111093,Reyes,midfielder,84,87,81,84,78
181236,Fernando Boldrin,midfielder,50,13,62,66,87
214004,D. Peralta,defender,33,38,88,93,50
241907,D. Rossi,forward,14,13,63,85,22
214515,M. Piedrahita,defender,95,32,23,22,68
189938,M. van der Werff,defender,22,37,73,28,14
207858,D. Dwyer,forward,33,30,79,38,19
223240,G. Bettini,defender,90,13,13,34,71
230407,Miltisco Paulino,defender,40,46,68,88,69
240134,David Batanero,midfielder,11,55,38,87,53
201220,L. Memushaj,midfielder,45,38,29,15,12
193310,D. Schmidt,defender,35,37,38,53,63
222493,M. Friedrich,defender,72,83,83,77,35
167452,O. Fink,midfielder,22,38,59,35,54
229659,B. Heynen,midfielder,75,28,76,67,35
215067,D. Rosero Valencia,defender,64,92,92,28,11
192026,Souza,midfielder,11,91,71,28,92
235290,K. Bonifazi,defender,56,37,70,87,27
236593,C. Stengs,forward,90,61,12,39,90
234033,Borja Lasso,midfielder,21,55,14,76,99
233265,R. Oudin,midfielder,65,31,54,43,25
199726,M. Torsiglieri,defender,93,20,10,48,63
202052,B. Afobe,forward,90,39,85,67,42
212035,J. Bela,midfielder,18,52,80,80,29
193602,M. Coronel,defender,93,13,54,72,53
232512,Y. Kashiwa,midfielder,85,23,37,93,22
163156,R. Keogh,defender,68,83,23,49,45
200787,H. Novillo,forward,35,34,99,17,66
180818,D. McGoldrick,forward,32,90,66,38,94
217168,J. Abella,defender,84,65,98,20,93
241771,A. Nwakaeme,midfielder,59,11,95,26,96
214378,D. Silva,midfielder,62,85,62,76,52
234857,I. Oblyakov,midfielder,30,55,30,32,31
214376,D. Andrade,defender,19,93,22,50,21
191079,H. Dean,defender,32,18,20,72,16
228967,Edu Machado,defender,78,81,31,17,11
194171,K. Musona,forward,55,57,60,69,66
218747,C. Pinares,forward,32,65,91,91,21
173434,P. Barrera,midfielder,42,79,56,98,53
189561,B. Koita,midfielder,30,38,41,86,69
178297,Canella,defender,46,97,57,18,96
205970,J. Wallace,midfielder,87,32,14,75,60
215441,S. Guirassy,forward,40,57,37,37,11
232080,J. Harrison,midfielder,17,90,21,55,24
193679,M. Correia,defender,71,26,64,50,48
212879,S. Michel,forward,77,30,67,90,87
204687,P. Olkowski,defender,31,20,58,79,86
240526,M. Fouzair,midfielder,35,91,68,26,94
205990,H. Reed,midfielder,13,61,10,59,96
220837,D. Machado,defender,34,94,24,59,25
201890,Negueba,midfielder,77,12,81,93,11
193185,S. Malone,defender,31,62,90,45,83
216481,J. Cooper,defender,10,69,75,95,83
232608,H. Abe,midfielder,96,78,64,53,60
204476,T. Beugelsdijk,defender,20,18,94,38,96
172475,L. Bruins,midfielder,74,43,34,56,14
221370,M. Al Buraik,defender,18,64,39,80,59
189369,G. Litteri,forward,26,84,73,17,76
186551,F. Navarro,defender,13,44,97,82,49
188107,A. Diomande,forward,84,41,32,38,48
227274,D. Barbona,midfielder,86,62,33,10,54
207562,S. Andersson,forward,53,57,90,35,48
200138,M. Hector,defender,31,23,72,26,20
176841,L. Jutkiewicz,forward,77,51,53,23,61
230366,Silvosinho,defender,31,26,85,32,23
223710,V. Muriqi,forward,41,92,63,65,52
201438,H. Van Der Bruggen,midfielder,81,57,51,95,30
177373,L. Nielsen,defender,82,31,29,13,82
239837,A. Mac Allister,midfielder,23,60,22,25,43
210653,L. Quintana,defender,47,51,89,51,16
145117,Dorca,midfielder,12,20,91,32,49
237532,Rodrigo,defender,74,30,71,81,65
202223,J. Meram,midfielder,64,77,14,24,12
238830,Alexandre Guedes,forward,73,43,82,52,39
201965,S. Thern,midfielder,79,53,72,22,70
237548,O. Haddadi,defender,59,13,24,15,75
235499,D. Benlamri,defender,94,16,63,57,27
212715,S. Palacios,forward,69,35,59,16,59
200683,O. Rashid,midfielder,46,12,46,16,14
184320,R. Bianco,midfielder,47,69,10,35,54
212223,S. Maguire,forward,84,31,38,69,82
209407,L. Lollo,midfielder,21,73,85,66,99
171774,Luso,defender,17,90,20,80,56
224508,L. Mancuso,forward,83,76,16,37,29
223740,Eguaras,midfielder,79,76,76,19,98
177934,S. Sam,midfielder,40,92,67,25,80
238862,Lucas Possignolo,defender,54,14,75,24,68
225294,Edson Farias,defender,19,14,25,66,76
220429,G. Campi,defender,38,62,74,22,36
8205,Braga,midfielder,60,28,82,82,80
239116,C. Ganea,defender,38,98,87,70,92
224524,E. Burgos,defender,34,85,93,55,49
216076,L. Pasciuti,midfielder,37,24,85,14,36
50955,J. Cavalli,midfielder,64,56,72,33,24
234762,Alberto Benito,defender,68,28,52,30,80
205834,S. Lundevall,midfielder,32,84,39,16,78
220700,M. Azira,midfielder,68,61,81,38,29
232219,Bismark,midfielder,70,36,66,61,18
180250,William,midfielder,48,73,91,27,93
212506,M. Matos,forward,71,20,42,10,56
193561,K. Leerdam,defender,97,99,80,58,28
173097,S. Marinos,defender,81,54,66,19,53
183336,P. Helland,forward,13,17,62,66,10
217639,Y. Kashiwagi,midfielder,31,62,79,76,30
234278,S. Breitkreuz,defender,92,99,74,21,60
208700,D. Blum,midfielder,47,53,84,58,20
216376,Marco Sangalli,midfielder,62,61,98,74,67
208440,M. Danielson,defender,75,81,56,74,64
233292,M. Barbieri,defender,39,54,13,85,22
189003,G. Belaud,defender,78,16,75,12,67
182091,K. Barbarouses,forward,87,91,29,15,30
194122,W. Grigg,forward,70,47,77,86,85
237642,R. Petretta,defender,16,91,97,35,28
171082,S. De Ridder,midfielder,67,77,40,48,21
219466,B. Meling,defender,90,93,85,30,55
213577,Puertas,midfielder,77,40,18,53,65
176475,R. Ovelar,forward,60,39,49,92,55
173147,D. Dessena,midfielder,13,72,62,61,23
207448,J. Paredes,defender,73,28,64,36,74
210031,Bruno Moreira,forward,13,89,57,99,80
188782,M. Morrison,defender,29,39,33,70,42
213612,H. Aiesh,forward,28,17,28,53,78
215147,L. Giannetti,defender,84,11,29,35,65
209281,Y. Al Shehri,midfielder,47,64,23,98,75
189824,Renato Chaves,defender,61,85,48,99,84
177279,R. Jenssen,midfielder,67,36,49,48,86
232318,Waguininho,forward,56,92,30,15,75
222590,M. Manotas,forward,69,40,64,51,54
210833,R. Improta,midfielder,11,21,84,47,79
150415,M. Caligiuri,defender,88,11,38,89,84
209039,D. Moberg Karlsson,midfielder,75,98,68,71,72
224142,C. Henao,defender,94,41,97,47,20
221582,J. Palacios,defender,47,43,90,70,60
224423,M. Wittek,defender,10,74,76,31,58
233125,M. Hartel,forward,49,82,26,58,31
211365,E. Hestad,forward,68,94,66,94,23
182180,M. Drudi,defender,70,85,32,68,46
214948,S. Schonlau,defender,22,36,19,93,76
187042,A. Konradsen,midfielder,29,50,52,30,56
174754,G. Torres,midfielder,90,50,20,46,49
231862,L. Castro,forward,22,39,21,68,97
225974,S. McKenna,defender,99,77,75,56,23
158902,D. Fox,defender,36,34,82,95,92
221621,S. Birnbaum,defender,21,10,92,83,46
199861,W. Sobota,midfielder,77,47,29,64,25
204468,T. Weilandt,midfielder,42,34,99,43,84
237766,S. Kaneko,midfielder,55,18,28,78,50
230342,Edsinho Torres,defender,62,74,52,21,42
187076,S. Hain,forward,87,34,13,11,72
192451,G. Carey,midfielder,97,58,48,18,43
186839,N. McGinn,midfielder,67,53,99,54,88
191443,F. Mancinelli,defender,40,84,68,69,67
123603,H. Campagnaro,defender,80,63,67,10,81
214226,R. Loaiza,midfielder,52,67,19,79,44
164839,M. Parkhurst,defender,74,30,43,82,45
222692,B. Schmitz,defender,83,90,18,69,24
202489,D. Bisoli,midfielder,15,56,33,67,76
193528,I. Sylla,forward,54,78,15,61,31
175608,A. Fathi,defender,56,30,17,63,71
244727,L. Tawamba,forward,77,34,43,90,65
191222,Unai Medina,defender,64,13,71,16,98
168950,S. Allagui,midfielder,78,68,14,12,33
199413,T. Kempe,midfielder,24,23,11,64,27
189172,Fidel,midfielder,15,23,26,69,48
245768,J. Lawrence,defender,91,72,69,72,54
212232,J. Maclaren,forward,79,42,75,86,56
189447,A. Sobiech,forward,51,51,57,13,66
219655,F. Zampano,midfielder,96,16,25,96,56
191237,Juanjo,midfielder,76,77,59,88,71
185349,D. Odoi,defender,62,53,52,33,51
179973,M. Morganella,midfielder,73,99,16,62,12
215557,Denilson,forward,59,25,46,93,56
223511,I. Chebake,defender,11,22,31,41,67
214807,F. Schultz,defender,61,65,28,86,89
183573,N. Theuerkauf,defender,67,49,18,12,22
215572,Alberto,defender,97,78,79,20,94
232489,Y. Komai,midfielder,78,61,32,64,66
221480,Y. Cabrera,midfielder,52,40,83,93,22
220968,A. El Messaoudi,midfielder,30,23,72,13,16
234279,C. Rizzuto,defender,18,62,63,10,44
221990,Y. Cabral,defender,89,78,73,61,47
209958,D. Bomheuer,defender,21,30,91,82,32
223551,L. Gregory,forward,52,56,62,99,70
211005,Jang Hyeon Soo,defender,83,55,97,84,48
211260,M. Makola,midfielder,25,54,59,64,89
235834,F. Depaoli,defender,39,83,73,56,70
159034,S. Taylor,defender,80,27,41,72,66
221774,Fernando Karanga,forward,75,99,55,96,63
236621,P. Hamel,forward,22,93,30,71,91
203853,M. Sax,midfielder,93,51,13,48,78
238924,D. Keita-Ruel,forward,62,81,66,35,13
243806,O. Darfalou,forward,39,21,64,95,37
227678,E. Konsa,defender,69,87,51,16,15
209758,V. Alvarado,defender,82,69,20,74,16
182621,D. Gordon,defender,78,37,84,65,80
242269,Felipe Curcio,defender,48,91,89,27,31
225117,N. Haas,midfielder,50,15,15,11,11
222557,J. Glad,defender,62,36,24,32,25
190572,L. De Bock,midfielder,16,95,86,10,65
167532,A. Aldrete,defender,68,37,96,89,52
213868,J. Castelletto,defender,45,83,77,96,12
210028,W. Bakhashwain,midfielder,88,90,54,36,66
225664,M. Ibarra,midfielder,92,45,45,64,47
237183,M. Rojas,midfielder,77,18,98,23,86
214911,A. Parot,defender,97,18,36,24,82
232062,D. Sundgren,defender,69,36,98,51,71
234108,G. Maroni,midfielder,86,90,50,96,67
227708,Lucas Tagliapietra,defender,36,28,27,42,50
165520,O. Scarione,midfielder,37,66,67,80,25
198288,S. Beitashour,defender,59,70,38,34,33
200845,P. Hoban,forward,81,18,93,59,33
182412,Dai Lin,defender,38,38,76,57,13
191390,F. N'Sakala,defender,65,10,63,64,74
183454,E. Pisano,defender,35,25,57,85,17
225950,M. Gakpa,midfielder,68,96,22,37,71
220829,E. Torregrossa,forward,46,98,97,66,73
204701,S. Khelifi,midfielder,10,71,56,10,19
235164,L. Mora,midfielder,68,26,30,24,89
232860,K. Higashi,midfielder,48,59,39,39,99
213404,P. Dawidowicz,defender,85,42,92,96,86
184242,F. Ojo,midfielder,55,11,81,32,26
216498,I. Mystakidis,midfielder,72,98,92,42,25
223920,A. Avlonitis,defender,80,58,98,49,47
233647,Neris,defender,62,14,62,81,25
234925,K. Pierie,defender,90,58,87,53,66
208835,Y. M'Changama,midfielder,39,54,62,80,18
183490,J. van den Bergh,defender,96,43,43,58,71
216514,B. Sagredo,midfielder,18,99,85,36,99
236993,N. Lima,defender,57,77,37,18,24
233409,R. Gumny,defender,14,62,48,16,76
184512,D. Tonucci,defender,57,54,76,93,23
214998,M. Bogado,midfielder,55,26,99,58,50
193749,P. Mlapa,forward,23,20,36,43,66
213717,P. Forsell,forward,23,15,17,46,32
219091,J. Fuentes,defender,15,34,44,67,57
206035,Eddy Silvestre,midfielder,48,45,69,87,20
222930,T. Serbest,midfielder,65,85,61,79,32
209637,M. Modolo,defender,36,60,28,19,12
235236,I. Jebali,forward,76,65,48,78,55
189155,S. Souprayen,defender,99,40,91,30,99
206563,J. Holt,midfielder,63,50,44,65,50
193250,M. Leovac,defender,66,93,25,62,43
166114,C. Kazim-Richards,forward,18,58,96,63,12
163828,A. Le Fondre,forward,75,11,97,34,69
183283,J. Taravel,defender,53,44,63,68,28
177906,D. Soddimo,midfielder,62,36,60,10,83
223730,T. van Weert,forward,33,93,97,98,51
232711,J. Stage,midfielder,67,78,17,42,51
229381,P. Rojas,midfielder,35,64,30,28,57
162053,L. Chambers,defender,68,47,28,82,84
223747,S. Kingsley,defender,64,29,43,53,78
219670,G. Piovi,defender,59,65,95,82,52
185109,M. Sadlok,defender,85,61,36,73,12
219413,E. Velasco,defender,94,96,38,57,18
199700,Aridai,midfielder,85,29,91,15,47
221477,Song Seung Min,forward,76,54,71,89,34
160292,B. Watson,midfielder,32,17,11,21,79
208675,T. Watt,forward,42,26,82,74,92
189730,F. Di Tacchio,midfielder,68,91,25,59,75
156464,R. Wood,defender,35,90,23,93,10
219952,L. Henderson,midfielder,55,44,95,42,20
214320,F. Flores,midfielder,56,14,27,64,27
208432,T. Pettersson,defender,63,78,35,19,69
192559,G. Nauber,defender,16,46,49,33,59
186415,S. Andrist,midfielder,68,94,82,50,22
214575,L. Payares,defender,27,75,92,95,50
204847,T. Kane,defender,22,58,98,11,57
212014,Ricardo Nunes,defender,60,50,38,88,30
198702,K. Barmen,midfielder,57,91,53,89,88
233790,Thiago Martins,defender,84,84,69,74,44
214590,J. Fuentes,midfielder,53,41,38,51,71
199741,C. Quaner,forward,50,73,60,22,13
221756,Lee Gwang Hyeok,forward,66,34,47,74,84
